FRODO  Copyright (C) 2008-2019  Thomas Leaute, Brammert Ottens & Radoslaw Szymanek
This program comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it
under certain conditions. 

Parsing the chosen problem file...
Parsing the chosen agent configuration file...
Setting up the agents...
	agent_279:	1 990
	agent_28:	7 761
	agent_280:	1 990
	agent_281:	1 990
	agent_282:	995
	agent_283:	995
	agent_284:	3 582
	agent_285:	3 781
	agent_286:	3 582
	agent_287:	3 781
	agent_288:	1 592
	agent_289:	1 393
	agent_29:	8 358
	agent_290:	398
	agent_291:	199
	agent_292:	2 587
	agent_293:	2 388
	agent_294:	597
	agent_295:	597
	agent_296:	796
	agent_297:	995
	agent_298:	3 980
	agent_299:	3 980
	agent_3:	2 388
	agent_30:	7 562
	agent_300:	8 756
	agent_301:	6 368
	agent_302:	1 791
	agent_303:	1 791
	agent_304:	995
	agent_305:	995
	agent_306:	5 970
	agent_307:	6 169
	agent_308:	1 990
	agent_309:	1 990
	agent_31:	7 562
	agent_310:	5 572
	agent_311:	5 970
	agent_312:	5 174
	agent_313:	5 572
	agent_314:	5 572
	agent_315:	5 373
	agent_316:	4 776
	agent_317:	4 975
	agent_318:	1 393
	agent_319:	1 592
	agent_32:	1 592
	agent_320:	3 184
	agent_321:	2 587
	agent_322:	2 587
	agent_323:	2 587
	agent_324:	1 990
	agent_325:	2 189
	agent_326:	2 786
	agent_327:	2 587
	agent_328:	1 791
	agent_329:	2 388
	agent_33:	1 592
	agent_330:	597
	agent_331:	796
	agent_332:	1 990
	agent_333:	1 791
	agent_334:	1 194
	agent_335:	995
	agent_336:	995
	agent_337:	1 194
	agent_338:	1 791
	agent_339:	1 791
	agent_34:	1 592
	agent_340:	1 990
	agent_341:	1 592
	agent_342:	8 756
	agent_343:	7 761
	agent_344:	2 388
	agent_345:	1 393
	agent_346:	1 393
	agent_347:	995
	agent_348:	597
	agent_349:	597
	agent_35:	1 592
	agent_350:	1 393
	agent_351:	1 393
	agent_352:	2 786
	agent_353:	2 388
	agent_354:	2 587
	agent_355:	2 388
	agent_356:	1 194
	agent_357:	1 791
	agent_358:	1 194
	agent_359:	1 393
	agent_36:	5 373
	agent_360:	1 393
	agent_361:	1 194
	agent_362:	1 194
	agent_363:	995
	agent_364:	995
	agent_365:	1 194
	agent_366:	1 393
	agent_367:	1 592
	agent_368:	2 587
	agent_369:	3 184
	agent_37:	8 557
	agent_370:	597
	agent_371:	597
	agent_372:	995
	agent_373:	995
	agent_374:	1 393
	agent_375:	1 393
	agent_376:	995
	agent_377:	796
	agent_378:	1 791
	agent_379:	1 592
	agent_38:	7 164
	agent_380:	1 393
	agent_381:	1 393
	agent_382:	995
	agent_383:	995
	agent_384:	2 189
	agent_385:	1 990
	agent_386:	4 179
	agent_387:	4 378
	agent_388:	4 378
	agent_389:	3 582
	agent_39:	4 577
	agent_390:	3 184
	agent_391:	3 184
	agent_392:	199
	agent_393:	398
	agent_394:	3 582
	agent_395:	4 776
	agent_396:	995
	agent_397:	995
	agent_398:	995
	agent_399:	995
	agent_4:	597
	agent_40:	11 741
	agent_41:	10 348
	agent_42:	1 791
	agent_43:	2 189
	agent_44:	1 791
	agent_45:	2 189
	agent_46:	3 582
	agent_47:	3 781
	agent_48:	4 776
	agent_49:	3 980
	agent_5:	199
	agent_50:	4 776
	agent_51:	3 980
	agent_52:	3 383
	agent_53:	3 781
	agent_54:	6 169
	agent_55:	4 179
	agent_56:	995
	agent_57:	995
	agent_58:	2 985
	agent_59:	2 985
	agent_6:	995
	agent_60:	995
	agent_61:	995
	agent_62:	2 587
	agent_63:	2 587
	agent_64:	597
	agent_65:	995
	agent_66:	796
	agent_67:	995
	agent_68:	597
	agent_69:	796
	agent_7:	995
	agent_70:	1 791
	agent_71:	1 791
	agent_72:	1 791
	agent_73:	1 990
	agent_74:	1 791
	agent_75:	1 990
	agent_76:	3 980
	agent_77:	3 781
	agent_78:	3 980
	agent_79:	3 781
	agent_8:	796
	agent_80:	4 378
	agent_81:	4 776
	agent_82:	4 378
	agent_83:	4 776
	agent_84:	5 970
	agent_85:	6 169
	agent_86:	2 985
	agent_87:	3 184
	agent_88:	3 582
	agent_89:	3 781
	agent_9:	1 393
	agent_90:	2 388
	agent_91:	2 189
	agent_92:	597
	agent_93:	597
	agent_94:	995
	agent_95:	1 194
	agent_96:	1 791
	agent_97:	1 791
	agent_98:	199
	agent_99:	995
Number of messages received (by agent): 
	agent_0:	2 388
	agent_1:	2 388
	agent_10:	796
	agent_100:	1 990
	agent_101:	1 990
	agent_102:	4 776
	agent_103:	4 378
	agent_104:	4 776
	agent_105:	4 378
	agent_106:	3 980
	agent_107:	3 383
	agent_108:	3 980
	agent_109:	3 383
	agent_11:	796
	agent_110:	1 393
	agent_111:	1 393
	agent_112:	3 582
	agent_113:	3 383
	agent_114:	4 179
	agent_115:	3 980
	agent_116:	3 781
	agent_117:	3 781
	agent_118:	3 383
	agent_119:	2 985
	agent_12:	1 791
	agent_120:	2 786
	agent_121:	2 388
	agent_122:	1 791
	agent_123:	1 791
	agent_124:	1 791
	agent_125:	1 791
	agent_126:	1 393
	agent_127:	1 990
	agent_128:	1 791
	agent_129:	1 393
	agent_13:	1 791
	agent_130:	1 194
	agent_131:	1 194
	agent_132:	2 985
	agent_133:	3 383
	agent_134:	2 985
	agent_135:	3 383
	agent_136:	3 383
	agent_137:	3 383
	agent_138:	1 791
	agent_139:	1 791
	agent_14:	1 592
	agent_140:	2 587
	agent_141:	2 587
	agent_142:	3 781
	agent_143:	3 781
	agent_144:	1 791
	agent_145:	1 791
	agent_146:	2 388
	agent_147:	2 189
	agent_148:	2 587
	agent_149:	2 786
	agent_15:	1 990
	agent_150:	3 383
	agent_151:	3 383
	agent_152:	1 592
	agent_153:	1 393
	agent_154:	2 189
	agent_155:	2 189
	agent_156:	2 189
	agent_157:	2 189
	agent_158:	2 985
	agent_159:	3 184
	agent_16:	5 771
	agent_160:	1 791
	agent_161:	1 791
	agent_162:	4 179
	agent_163:	4 378
	agent_164:	3 184
	agent_165:	3 383
	agent_166:	3 184
	agent_167:	2 985
	agent_168:	1 791
	agent_169:	1 791
	agent_17:	5 771
	agent_170:	1 791
	agent_171:	1 791
	agent_172:	2 985
	agent_173:	3 184
	agent_174:	597
	agent_175:	597
	agent_176:	3 980
	agent_177:	3 184
	agent_178:	796
	agent_179:	796
	agent_18:	4 975
	agent_180:	2 587
	agent_181:	2 587
	agent_182:	1 393
	agent_183:	1 393
	agent_184:	3 383
	agent_185:	3 781
	agent_186:	2 189
	agent_187:	1 393
	agent_188:	1 393
	agent_189:	1 393
	agent_19:	4 975
	agent_190:	2 587
	agent_191:	2 587
	agent_192:	597
	agent_193:	597
	agent_194:	1 393
	agent_195:	1 393
	agent_196:	1 393
	agent_197:	1 393
	agent_198:	1 990
	agent_199:	1 791
	agent_2:	2 388
	agent_20:	3 184
	agent_200:	995
	agent_201:	1 194
	agent_202:	1 791
	agent_203:	1 791
	agent_204:	2 189
	agent_205:	2 189
	agent_206:	4 577
	agent_207:	4 577
	agent_208:	4 577
	agent_209:	4 378
	agent_21:	2 985
	agent_210:	2 388
	agent_211:	2 587
	agent_212:	2 985
	agent_213:	2 985
	agent_214:	4 776
	agent_215:	3 980
	agent_216:	2 985
	agent_217:	2 985
	agent_218:	995
	agent_219:	995
	agent_22:	1 393
	agent_220:	1 393
	agent_221:	1 393
	agent_222:	1 791
	agent_223:	1 791
	agent_224:	1 393
	agent_225:	1 592
	agent_226:	2 786
	agent_227:	2 786
	agent_228:	2 587
	agent_229:	2 587
	agent_23:	2 786
	agent_230:	1 194
	agent_231:	995
	agent_232:	995
	agent_233:	995
	agent_234:	4 179
	agent_235:	4 378
	agent_236:	1 393
	agent_237:	2 189
	agent_238:	1 592
	agent_239:	1 393
	agent_24:	5 174
	agent_240:	995
	agent_241:	995
	agent_242:	3 781
	agent_243:	3 582
	agent_244:	2 985
	agent_245:	3 383
	agent_246:	1 393
	agent_247:	1 393
	agent_248:	2 786
	agent_249:	2 587
	agent_25:	4 776
	agent_250:	3 383
	agent_251:	3 383
	agent_252:	1 990
	agent_253:	1 791
	agent_254:	1 194
	agent_255:	1 592
	agent_256:	1 194
	agent_257:	1 194
	agent_258:	3 383
	agent_259:	2 985
	agent_26:	4 776
	agent_260:	3 582
	agent_261:	3 980
	agent_262:	3 980
	agent_263:	3 781
	agent_264:	1 393
	agent_265:	2 587
	agent_266:	4 179
	agent_267:	4 378
	agent_268:	3 383
	agent_269:	3 184
	agent_27:	4 975
	agent_270:	1 393
	agent_271:	1 393
	agent_272:	1 393
	agent_273:	1 393
	agent_274:	1 990
	agent_275:	1 990
	agent_276:	1 791
	agent_277:	1 194
	agent_278:	1 990
	agent_279:	1 990
	agent_28:	7 761
	agent_280:	1 990
	agent_281:	1 990
	agent_282:	995
	agent_283:	995
	agent_284:	3 582
	agent_285:	3 781
	agent_286:	3 582
	agent_287:	3 781
	agent_288:	1 592
	agent_289:	1 393
	agent_29:	8 358
	agent_290:	398
	agent_291:	199
	agent_292:	2 587
	agent_293:	2 388
	agent_294:	597
	agent_295:	597
	agent_296:	796
	agent_297:	995
	agent_298:	3 980
	agent_299:	3 980
	agent_3:	2 388
	agent_30:	7 562
	agent_300:	8 756
	agent_301:	6 368
	agent_302:	1 791
	agent_303:	1 791
	agent_304:	995
	agent_305:	995
	agent_306:	5 970
	agent_307:	6 169
	agent_308:	1 990
	agent_309:	1 990
	agent_31:	7 562
	agent_310:	5 572
	agent_311:	5 970
	agent_312:	5 174
	agent_313:	5 572
	agent_314:	5 572
	agent_315:	5 373
	agent_316:	4 776
	agent_317:	4 975
	agent_318:	1 393
	agent_319:	1 592
	agent_32:	1 592
	agent_320:	3 184
	agent_321:	2 587
	agent_322:	2 587
	agent_323:	2 587
	agent_324:	1 990
	agent_325:	2 189
	agent_326:	2 786
	agent_327:	2 587
	agent_328:	1 791
	agent_329:	2 388
	agent_33:	1 592
	agent_330:	597
	agent_331:	796
	agent_332:	1 990
	agent_333:	1 791
	agent_334:	1 194
	agent_335:	995
	agent_336:	995
	agent_337:	1 194
	agent_338:	1 791
	agent_339:	1 791
	agent_34:	1 592
	agent_340:	1 990
	agent_341:	1 592
	agent_342:	8 756
	agent_343:	7 761
	agent_344:	2 388
	agent_345:	1 393
	agent_346:	1 393
	agent_347:	995
	agent_348:	597
	agent_349:	597
	agent_35:	1 592
	agent_350:	1 393
	agent_351:	1 393
	agent_352:	2 786
	agent_353:	2 388
	agent_354:	2 587
	agent_355:	2 388
	agent_356:	1 194
	agent_357:	1 791
	agent_358:	1 194
	agent_359:	1 393
	agent_36:	5 373
	agent_360:	1 393
	agent_361:	1 194
	agent_362:	1 194
	agent_363:	995
	agent_364:	995
	agent_365:	1 194
	agent_366:	1 393
	agent_367:	1 592
	agent_368:	2 587
	agent_369:	3 184
	agent_37:	8 557
	agent_370:	597
	agent_371:	597
	agent_372:	995
	agent_373:	995
	agent_374:	1 393
	agent_375:	1 393
	agent_376:	995
	agent_377:	796
	agent_378:	1 791
	agent_379:	1 592
	agent_38:	7 164
	agent_380:	1 393
	agent_381:	1 393
	agent_382:	995
	agent_383:	995
	agent_384:	2 189
	agent_385:	1 990
	agent_386:	4 179
	agent_387:	4 378
	agent_388:	4 378
	agent_389:	3 582
	agent_39:	4 577
	agent_390:	3 184
	agent_391:	3 184
	agent_392:	199
	agent_393:	398
	agent_394:	3 582
	agent_395:	4 776
	agent_396:	995
	agent_397:	995
	agent_398:	995
	agent_399:	995
	agent_4:	597
	agent_40:	11 741
	agent_41:	10 348
	agent_42:	1 791
	agent_43:	2 189
	agent_44:	1 791
	agent_45:	2 189
	agent_46:	3 582
	agent_47:	3 781
	agent_48:	4 776
	agent_49:	3 980
	agent_5:	199
	agent_50:	4 776
	agent_51:	3 980
	agent_52:	3 383
	agent_53:	3 781
	agent_54:	6 169
	agent_55:	4 179
	agent_56:	995
	agent_57:	995
	agent_58:	2 985
	agent_59:	2 985
	agent_6:	995
	agent_60:	995
	agent_61:	995
	agent_62:	2 587
	agent_63:	2 587
	agent_64:	597
	agent_65:	995
	agent_66:	796
	agent_67:	995
	agent_68:	597
	agent_69:	796
	agent_7:	995
	agent_70:	1 791
	agent_71:	1 791
	agent_72:	1 791
	agent_73:	1 990
	agent_74:	1 791
	agent_75:	1 990
	agent_76:	3 980
	agent_77:	3 781
	agent_78:	3 980
	agent_79:	3 781
	agent_8:	796
	agent_80:	4 378
	agent_81:	4 776
	agent_82:	4 378
	agent_83:	4 776
	agent_84:	5 970
	agent_85:	6 169
	agent_86:	2 985
	agent_87:	3 184
	agent_88:	3 582
	agent_89:	3 781
	agent_9:	1 393
	agent_90:	2 388
	agent_91:	2 189
	agent_92:	597
	agent_93:	597
	agent_94:	995
	agent_95:	1 194
	agent_96:	1 791
	agent_97:	1 791
	agent_98:	199
	agent_99:	995
Amount of information sent (by type, in bytes): 
	[ALL, DSA, VALUE]:	247 210
	[ALL, DSA, VALUE]:	217 880
	[ALL, DSA, VALUE]:	175 980
	[ALL, DSA, VALUE]:	159 220
	[ALL, DSA, VALUE]:	184 360
	[ALL, DSA, VALUE]:	159 220
	[ALL, DSA, VALUE]:	134 080
	[ALL, DSA, VALUE]:	121 510
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	163 410
	[ALL, DSA, VALUE]:	104 750
	[ALL, DSA, VALUE]:	129 890
	[ALL, DSA, VALUE]:	180 170
	[ALL, DSA, VALUE]:	121 510
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	92 180
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	87 990
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	75 420
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	104 750
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	150 840
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	87 990
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	92 180
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	75 420
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	87 990
	[ALL, DSA, VALUE]:	87 990
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	92 180
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	87 990
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	92 180
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	113 130
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	96 370
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	92 180
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	92 180
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	58 660
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	50 280
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	75 420
	[ALL, DSA, VALUE]:	75 420
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	58 660
	[ALL, DSA, VALUE]:	58 660
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	75 420
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	50 280
	[ALL, DSA, VALUE]:	75 420
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	58 660
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	50 280
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	20 995
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	29 393
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	29 393
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	37 791
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	75 420
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	20 995
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	50 280
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 708
	[ALL, DSA, VALUE]:	37 708
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	184 356
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	163 406
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	83 798
	[ALL, DSA, VALUE]:	96 366
	[ALL, DSA, VALUE]:	83 798
	[ALL, DSA, VALUE]:	71 226
	[ALL, DSA, VALUE]:	83 796
	[ALL, DSA, VALUE]:	71 226
	[ALL, DSA, VALUE]:	50 278
	[ALL, DSA, VALUE]:	50 266
	[ALL, DSA, VALUE]:	50 266
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	58 658
	[ALL, DSA, VALUE]:	62 846
	[ALL, DSA, VALUE]:	50 280
	[ALL, DSA, VALUE]:	50 266
	[ALL, DSA, VALUE]:	58 656
	[ALL, DSA, VALUE]:	58 660
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	50 266
	[ALL, DSA, VALUE]:	58 658
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	71 226
	[ALL, DSA, VALUE]:	41 896
	[ALL, DSA, VALUE]:	92 176
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	25 139
	[ALL, DSA, VALUE]:	37 709
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	16 760
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	75 416
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	41 990
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	50 280
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	20 995
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	25 140
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	33 518
	[ALL, DSA, VALUE]:	29 328
	[ALL, DSA, VALUE]:	20 944
	[ALL, DSA, VALUE]:	20 944
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	33 516
	[ALL, DSA, VALUE]:	33 510
	[ALL, DSA, VALUE]:	37 699
	[ALL, DSA, VALUE]:	41 887
	[ALL, DSA, VALUE]:	37 698
	[ALL, DSA, VALUE]:	54 466
	[ALL, DSA, VALUE]:	41 900
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	16 760
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	16 760
	[ALL, DSA, VALUE]:	12 597
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	20 949
	[ALL, DSA, VALUE]:	16 753
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	29 319
	[ALL, DSA, VALUE]:	20 995
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	16 760
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	12 597
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	83 800
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	117 320
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	96 370
	[ALL, DSA, VALUE]:	108 940
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	96 370
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	50 280
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	50 280
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	16 760
	[ALL, DSA, VALUE]:	20 995
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	125 700
	[ALL, DSA, VALUE]:	125 700
	[ALL, DSA, VALUE]:	125 700
	[ALL, DSA, VALUE]:	129 890
	[ALL, DSA, VALUE]:	117 320
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	108 940
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	117 320
	[ALL, DSA, VALUE]:	100 560
	[ALL, DSA, VALUE]:	129 890
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	79 610
	[ALL, DSA, VALUE]:	104 750
	[ALL, DSA, VALUE]:	71 230
	[ALL, DSA, VALUE]:	75 420
	[ALL, DSA, VALUE]:	113 130
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	62 850
	[ALL, DSA, VALUE]:	92 180
	[ALL, DSA, VALUE]:	104 750
	[ALL, DSA, VALUE]:	92 180
	[ALL, DSA, VALUE]:	67 040
	[ALL, DSA, VALUE]:	92 180
	[ALL, DSA, VALUE]:	87 990
	[ALL, DSA, VALUE]:	16 796
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
